GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gamelibrarystats,com.gamelibrary.stats,GameLibraryStatsApp,5,3,0,0,2,1,1,1,1,1
gamelibrarystats,com.gamelibrary.stats.service,GameService,70,739,26,80,12,137,31,45,5,18
gamelibrarystats,com.gamelibrary.stats.service,SteamGridDbClient,244,12,36,0,51,3,23,2,5,2
gamelibrarystats,com.gamelibrary.stats.controller,LauncherController.LauncherDTO,9,0,0,0,1,0,1,0,1,0
gamelibrarystats,com.gamelibrary.stats.controller,GameController,41,9,0,0,8,2,4,2,4,2
gamelibrarystats,com.gamelibrary.stats.controller,AdminUserController.AdminUserRow,15,0,0,0,1,0,1,0,1,0
gamelibrarystats,com.gamelibrary.stats.controller,AdminUserController,123,6,18,0,23,3,14,1,5,1
gamelibrarystats,com.gamelibrary.stats.controller,LauncherController,144,6,22,0,28,3,16,1,5,1
gamelibrarystats,com.gamelibrary.stats.controller,AdminUserController.UpdateRoleRequest,6,0,0,0,1,0,1,0,1,0
gamelibrarystats,com.gamelibrary.stats.controller,AdminUserController.UpdateEnabledRequest,6,0,0,0,1,0,1,0,1,0
gamelibrarystats,com.gamelibrary.stats.auth.jwt,JwtAuthFilter,2,68,2,6,2,18,2,4,0,2
gamelibrarystats,com.gamelibrary.stats.auth.jwt,JwtService,0,67,0,0,0,22,0,5,0,5
gamelibrarystats,com.gamelibrary.stats.auth,AuthController,0,111,3,7,0,23,3,5,0,3
gamelibrarystats,com.gamelibrary.stats.auth,AppUserDetailsService,10,31,1,1,1,10,2,2,1,2
